"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.4282",0.0684679282386183,-0.195347701862799,0.805732803585206,-0.242447249253816,0.808433626591275,NA,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_Planctomycetales_bacterium",NA,NA,NA
"OTU.4283",8.27510548113774,1.37848733457597,0.574047388838,2.40134762631068,0.0163348104553053,0.150562552969425,"Bacteria","Acidobacteria","DA023","uncultured_bacterium",NA,NA,NA,NA
"OTU.4281",0.0702335252149368,0.768219730518045,0.818528574550002,0.938537461493491,0.347968274614872,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured",NA,NA
"OTU.557",0.384815270102928,0.176591320852718,0.981677653069138,0.179887277968097,0.857241062988512,NA,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","uncultured","uncultured_bacterium",NA
"OTU.3703",0.0702335252149368,0.768219730518045,0.818528574550002,0.938537461493491,0.347968274614872,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium","uncultured_bacterium"
"OTU.3255",0.074825817176915,0.786363023700362,0.819805365576306,0.959206973654735,0.337454488041169,NA,"Bacteria","Chloroflexi","JG30-KF-CM66","uncultured_bacterium",NA,NA,NA,NA
"OTU.3257",0.074825817176915,0.786363023700362,0.819805365576306,0.959206973654735,0.337454488041169,NA,"Unassigned",NA,NA,NA,NA,NA,NA,NA
"OTU.3258",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacterineae","Cystobacteraceae","Anaeromyxobacter",NA
"OTU.3259",0.0671056737250998,-0.203100238155151,0.805189336718034,-0.252239105628238,0.800856253126085,NA,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","TM146","uncultured_bacterium",NA,NA
"OTU.556",0.159495333174143,-0.340613180350441,0.809650188150875,-0.420691781877248,0.673980162951354,NA,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","uncultured","uncultured_bacterium",NA
"OTU.451",0.180366288748456,-0.448295286472763,0.833750899588589,-0.537684920872617,0.590794591300794,NA,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Sporocytophaga","uncultured_bacterium",NA
"OTU.2509",0.0684679282386183,-0.195347701862799,0.805732803585206,-0.242447249253816,0.808433626591275,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage","uncultured_bacterium",NA
"OTU.551",0.368900429808401,0.465297884457259,0.979603897950104,0.474985742125905,0.634797135827039,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","env.OPS_17","uncultured_bacterium",NA,NA
"OTU.550",0.336655837415787,-0.767835396354984,0.937880533138792,-0.818692114000149,0.412962097037514,NA,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","YNPFFP1",NA,NA,NA
"OTU.2073",0.181728543261974,-0.442903944603212,0.832257085608936,-0.532172032250292,0.594606851504375,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA,NA
"OTU.2071",0.0823336460329628,-0.210943756691133,0.806004033135888,-0.261715510120245,0.79354078187003,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA,NA
"OTU.2070",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",NA,NA
"OTU.2077",0.0918474190521727,-0.233517696564365,0.805914364111278,-0.289754975172674,0.772003695393656,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","uncultured",NA,NA
"OTU.552",2.09372243448121,0.633943688919877,0.79147247963344,0.800967443888231,0.423150493462756,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_planctomycete",NA
"OTU.2075",0.0698094756965087,-0.197039876073045,0.805767466469089,-0.244536897147862,0.806815029369924,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","Polyangiaceae","Byssovorax","uncultured_bacterium"
"OTU.2074",0.183070090719865,-0.443836162385659,0.832494438141774,-0.533140093255582,0.593936607061421,NA,"Bacteria","Acidobacteria","Candidatus_Solibacter","uncultured_bacterium",NA,NA,NA,NA
"OTU.861",0.747813245842862,0.528780705351017,0.985174618736676,0.536738051604589,0.591448567897143,NA,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA
"OTU.860",0.994528475419258,-0.134657323453161,0.957166508757274,-0.140683279472442,0.888120154760578,NA,"Bacteria","Acidobacteria","BPC015","uncultured_bacterium",NA,NA,NA,NA
